	IL17pos_SC_EAE_1	IL17pos_SC_EAE_2	IL17neg_SC_EAE	IL17pos_SI_SS	IL17pos_SI_mock	IL17pos_SI_EAE	IL17neg_SI_EAE	IL17neg_SI_SS	IL17neg_SI_mock
Rab37	1991.825807	1773.955396	1886.465392	1078.981855	1944.720547	1434.203232	1604.573115	1920.969241	1873.95014
Rab38	0	0	0	3.9137118	1.088938407	2.24813985	0	0	0.94388242
Rab39	0.447660727	9.176517734	3.392234831	3.635431215	4.624048113	5.369883691	0	5.219926937	2.004042512
Rab39b	505.8847816	312.5437782	306.404245	350.5950083	346.7827105	387.6712975	164.3829225	232.9451469	184.6408251
Rab3a	18620.00029	10618.39016	7198.806915	15738.40495	4121.414083	14181.26617	13632.21657	7444.033406	2977.005152
Rab3b	0	0	0	2.788519658	0	0	0	0.46712057	0
Rab3c	0	0	0	0	2.222331123	0	2.3692355	0	2.276533351
Rab3d	30.6102927	54.9179734	63.2943975	25.53679238	10.65791074	30.71324133	13.21976006	10.02612033	21.55576526
Rab3gap1	643.2557146	764.5467746	692.95502	790.9092758	976.7877414	887.3716307	962.7765706	983.9134956	957.3196995
Rab3gap2	203.649116	264.2728874	248.682311	435.647005	483.3775461	563.1513113	373.9779452	395.2556614	421.7565971
Rab3il1	3.439655226	2.473995843	4.344107621	6.650779643	5.921571958	7.640768413	0	1.336931287	2.566383752
Rab3ip	308.5204509	229.3734436	386.9693234	454.8638794	536.8818531	505.4382507	953.0803659	680.8707754	805.119423
Rab40b	0	0	0	1.654671182	5.524683757	4.752435045	5.814374603	11.64169657	8.779371761
Rab40c	123.5077067	90.19149484	96.91824396	80.71554467	110.0269372	103.5128918	121.8687797	79.24001497	100.8028914
Rab42	43.42857211	0	0	0	0	0	0	0	2.025173573
Rab43	4609.040975	6041.225674	5322.446523	9342.760093	9109.448969	7723.189565	6504.537236	8427.909236	9961.84023
Rab44	0	2.097321689	4.208803069	4.886419343	3.764994595	11.22755544	2.264237056	2.644551048	0.72521441
