	IL17pos_SC_EAE_1	IL17pos_SC_EAE_2	IL17neg_SC_EAE	IL17pos_SI_EAE	IL17pos_SI_SS	IL17pos_SI_mock	IL17neg_SI_EAE	IL17neg_SI_mock	IL17neg_SI_SS
Clpb	7.876304868	8.067650013	7.260608378	8.467496676	8.106394077	7.987894672	8.029613968	8.145711989	8.128114102
Clpp	7.810564066	7.867622249	7.70494397	7.600729547	7.589654744	7.782042352	7.943170696	7.653216008	7.7400063
Clps	4.811952535	4.811952535	4.811952535	5.102753323	4.811952535	4.811952535	4.811952535	5.558576792	4.811952535
Clpsl2	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535
Clptm1	11.19939865	11.0928187	10.84155552	10.63495095	10.81543161	10.847758	10.65804532	10.86602923	10.51788985
Clptm1l	10.35247441	10.17001888	10.21700224	9.681780869	10.1176885	9.834207115	9.968772	10.07230399	10.28044652
Clpx	9.943984394	9.62107523	9.900367267	9.819932702	9.762589101	9.90107253	9.876480691	9.758001258	9.99884431
Clrn1	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535
Clrn2	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535	5.381654138	4.811952535	4.811952535	4.811952535
Clrn3	4.811952535	4.811952535	4.811952535	5.102753323	4.811952535	5.098188012	5.353384952	4.811952535	4.811952535
Clspn	8.642383174	9.042827473	8.453778663	7.979018123	7.754847876	8.139058017	7.869972626	7.983372456	8.053095111
Clstn1	6.451993829	6.602716706	7.730899067	8.005291896	9.190087054	8.964178156	8.111061184	8.672783429	8.583933513
Clstn2	4.811952535	4.811952535	4.811952535	5.102753323	5.19516297	4.811952535	4.811952535	4.811952535	5.525516297
Clstn3	4.811952535	4.811952535	5.074112238	5.313951068	5.993994681	5.507478679	5.195919549	5.188375943	4.811952535
Clta	11.5908248	11.54981008	11.25794661	11.17190145	10.93853144	11.19090516	11.33856853	11.05396457	11.50687037
Cltb	7.949298867	8.206730669	7.186151596	8.129783656	8.676294926	8.1561568	8.370663847	8.165362936	8.101776626
Cltc	12.84681764	12.97827395	13.05329258	13.55443507	13.32683134	13.45227824	13.32888121	13.44782225	13.45424288
Clu	4.811952535	4.811952535	5.33413849	8.249680038	8.158161418	7.30077411	6.463845143	6.416208086	7.036931842
Cluap1	9.056358663	9.619373824	9.471354976	9.266811517	8.65494567	8.676799969	9.074312366	8.852295793	8.814264328
Cluh	9.562663465	8.766007167	9.140737527	8.545185828	8.92526318	8.888266941	8.667080922	8.917087164	8.628667934
Clvs1	4.811952535	4.811952535	4.811952535	5.573760679	5.083320301	5.381654138	5.281527788	4.811952535	4.811952535
Clvs2	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535
Clybl	6.282265281	7.020353056	7.097117402	6.312110711	6.548436196	6.336348916	6.481905039	6.964187445	6.710793874
Cma1	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535	5.216092193	4.811952535	4.811952535	4.811952535
Cma2	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535	5.098188012	4.811952535	4.811952535	4.811952535
Cmah	11.74070353	11.63301419	11.7868898	10.68198153	10.06761329	9.919383976	12.00909911	11.06177471	10.08126099
Cmas	11.33897863	11.17783536	11.17215036	11.35777213	11.44036922	11.75815598	11.65518021	11.69841779	11.8905767
Cmbl	5.167877154	5.44872976	5.776168224	5.840315845	6.548436196	6.055299849	5.876843815	6.195740632	6.535351339
Cmc1	9.423161542	9.520733553	8.821801611	8.165088117	7.634679562	8.184203517	8.375050523	8.282365402	8.047580931
Cmc2	8.959791866	8.769088535	8.312150458	8.720739139	8.994778757	9.110729957	8.217736024	7.78712219	8.030907844
Cmip	12.24969534	11.65557586	11.51569561	12.13578799	12.71774743	12.32072075	11.33130202	12.45725251	11.69954224
Cmklr1	7.729742331	8.13169307	7.454342953	6.566916537	6.846873729	6.42308722	5.416419987	6.416208086	6.176281971
Cml1	5.801690963	5.868744235	5.706930371	5.80150961	5.616779523	5.786493931	5.967755922	5.824826549	5.996843146
Cml2	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535	5.083857635	4.811952535	4.811952535
Cml3	4.811952535	5.073672081	4.811952535	5.457895318	5.52374178	5.216092193	5.083857635	5.078500463	5.084008515
Cml5	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535	5.195919549	4.811952535	4.811952535
Cmpk1	11.89611194	11.81365572	11.42441232	11.16544148	10.69998408	10.97090534	11.11724243	10.64901371	10.83604476
Cmpk2	9.803887352	8.087666605	8.700727403	6.971183412	6.721321985	6.982823714	6.952589542	7.237971715	6.87766906
Cmss1	6.744772552	7.248176617	6.706363039	6.808948894	6.99717496	7.109603694	6.940243182	6.676870501	7.13686412
Cmtm1	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535
Cmtm2a	4.811952535	4.811952535	4.811952535	5.222516691	4.811952535	4.811952535	5.083857635	4.811952535	4.811952535
Cmtm2b	4.811952535	4.811952535	4.811952535	5.573760679	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535
Cmtm3	8.052143261	7.592356973	7.685154909	7.025488385	8.095809163	7.268953149	6.796014598	7.535934605	7.625334468
Cmtm4	8.858928984	8.542775089	8.710413464	7.660282071	7.846579254	7.774631062	7.85739281	7.955344561	7.871233954
Cmtm5	4.811952535	4.811952535	5.074112238	4.811952535	4.811952535	5.381654138	4.811952535	4.811952535	4.811952535
Cmtm6	12.05253367	11.45485618	11.2899209	10.31252487	11.00792325	10.847758	10.62824495	10.9602732	10.68088923
Cmtm7	9.580606179	9.281243054	9.550545096	7.904127401	8.095809163	8.150480138	8.684814139	8.39045271	8.624993131
Cmtm8	4.811952535	4.811952535	4.811952535	5.518393615	5.874823819	5.381654138	5.700962481	5.078500463	5.281786841
Cmtr1	11.00980439	10.34994675	10.5490181	10.08641947	10.20560998	10.02615444	9.909910267	10.19224122	10.13626991
Cmtr2	7.325295578	7.284123221	7.305137953	7.102961539	7.419373883	7.109603694	7.638988117	7.497141992	7.71921328
Cmya5	5.473700031	7.419075431	7.260608378	7.115444079	6.886117985	7.214191247	6.92777837	6.720102147	7.115298702
Cnbd2	7.259955762	6.675580044	6.933949398	7.343386915	7.788304591	7.566622587	7.287280355	7.256877258	7.239759685
Cnbp	14.64018433	14.72031361	14.57233818	15.7549472	15.44024364	15.69802864	15.58239057	15.32791639	15.61928137
Cndp1	4.811952535	4.811952535	5.074112238	4.811952535	4.811952535	5.098188012	4.811952535	4.811952535	4.811952535
Cndp2	9.444701898	9.178591325	9.250796619	8.69293769	8.535357379	9.039324782	8.756981132	8.784433544	9.051380695
Cnep1r1	10.47776495	10.4670512	10.271241	10.3723542	10.43076413	10.24384996	10.29164481	10.46784604	10.77794819
Cnfn	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535
Cnga1	7.06192031	7.458648559	6.979485027	5.573760679	5.616779523	5.306121106	6.850354655	5.683917171	5.281786841
Cnga2	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535	5.098188012	4.811952535	4.811952535	4.811952535
Cnga3	4.811952535	4.811952535	5.182195795	4.811952535	4.811952535	5.216092193	4.811952535	4.811952535	4.811952535
Cnga4	4.811952535	4.811952535	4.811952535	4.811952535	5.471877009	5.098188012	5.083857635	5.078500463	4.811952535
Cngb1	4.811952535	4.811952535	4.811952535	5.222516691	5.4152391	5.612564423	4.811952535	4.811952535	4.811952535
Cngb3	4.811952535	5.264034016	4.811952535	5.313951068	5.083320301	5.306121106	4.811952535	4.811952535	4.811952535
Cnih1	9.653305613	9.528008019	9.594658274	9.355398014	9.324273786	9.222370652	9.365048301	9.325313182	9.420341981
Cnih2	6.145911793	6.796859327	6.298415971	5.980758053	6.241305702	5.930542931	5.876843815	6.486884052	6.389483433
Cnih3	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535	5.216092193	5.083857635	4.811952535	4.811952535
Cnih4	9.989845089	10.19420562	9.946010468	9.622160768	9.459323311	9.581643011	9.617835821	9.193809407	9.476289831
Cnksr1	4.811952535	4.811952535	5.449786483	5.518393615	5.19516297	5.216092193	4.811952535	5.342807073	4.811952535
Cnksr2	4.811952535	4.811952535	4.811952535	5.913195795	6.021603283	5.216092193	4.811952535	5.602795173	5.473526814
Cnksr3	5.167877154	5.394022115	5.669934946	6.58587007	6.496683132	6.192230027	7.457622615	7.04364291	6.634141391
Cnn1	5.063947529	5.545301774	4.811952535	6.186418956	6.346398082	5.824756535	5.967755922	5.946035442	5.573704104
Cnn2	12.45878973	12.17319384	12.227244	11.035288	11.38498127	11.57617855	11.4303689	11.57969849	11.03241489
Cnn3	6.335890557	7.093912404	5.631068848	9.501818016	9.754278945	9.789651688	8.207915834	8.150650372	7.78735041
Cnnm1	6.059298495	6.127679282	6.850195244	6.566916537	8.242040885	8.35657601	6.69491666	7.983372456	8.271901657
Cnnm2	8.394471098	8.312325637	8.111367587	9.448346225	9.612507163	9.280264399	8.00138516	8.33527412	8.432243397
Cnnm3	8.501618222	8.881520901	8.794756892	9.212030689	9.619845925	9.560574369	9.540352088	9.699073449	9.639429434
Cnnm4	8.864277867	8.686733103	8.979492637	9.46717144	9.88789699	9.956935381	9.393283251	9.914387496	9.518348272
Cnot1	13.70121713	13.7722065	13.83668687	14.27241007	14.27182602	14.30780478	14.00095915	14.14407742	14.17858659
Cnot10	9.809429067	9.743268114	9.799984395	9.898265008	9.855636796	9.495451362	9.795863336	9.738625446	9.729114692
Cnot11	10.34295778	10.034959	10.06861691	10.22131538	10.05819603	10.09659423	10.25783097	10.27186257	10.06919506
Cnot2	12.31998748	12.33076738	12.2926264	12.58270417	12.21907374	12.43871367	12.4385303	12.12654595	12.26882104
Cnot3	9.850325732	9.964374657	10.0847806	9.26949648	10.13953922	9.741803274	9.276854735	9.921563471	9.428769162
Cnot4	11.91388967	12.0308818	12.20411094	12.54228402	12.2810644	12.27236511	12.24599051	12.4088373	12.23623815
Cnot6	12.66619202	12.34548947	12.09944782	12.87981216	13.04043743	13.10290672	12.19332281	12.53364231	12.72031233
Cnot6l	12.93271436	12.77787535	13.12007519	13.67263556	13.51842257	13.54490994	13.54854506	13.52246034	13.68135657
Cnot7	11.58720326	11.81476987	11.59201253	12.28890053	11.87533851	12.10479732	11.86403561	11.66077746	11.49590127
Cnot8	9.314242315	9.190111199	9.008528355	9.342708112	9.344360863	9.391880306	9.121855364	9.242824357	9.411865116
Cnp	10.66429115	9.91393382	9.801490341	9.011609335	9.248121388	9.616766544	9.427289569	9.609456231	9.154152213
Cnppd1	10.10919703	10.04005243	9.894735161	10.18627605	10.43388749	10.43756057	10.46003898	10.70744334	10.327346
Cnpy1	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535
Cnpy2	8.491258982	9.063026516	8.726412496	8.48616107	8.92526318	8.604262369	8.753625941	8.165362936	8.744920892
Cnpy3	8.345412366	8.312325637	7.836118026	7.832393652	8.321234507	8.527841153	8.172998949	7.988911663	8.436449231
Cnpy4	9.48683818	9.321591421	9.069909684	8.639826349	8.41757498	8.790070769	8.532455605	8.443570746	8.852431204
Cnr1	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535	5.195919549	5.272328185	5.084008515
Cnr2	5.886742319	7.031116177	6.238199659	5.840315845	5.571814958	5.381654138	6.664464597	6.001207778	5.473526814
Cnrip1	4.811952535	5.44872976	5.80874474	5.980758053	6.423966346	5.746424433	6.287233853	6.36023066	6.500538427
Cnst	9.867693176	9.360837857	9.967630458	10.67391172	10.40765034	10.63874021	11.22371863	11.381269	11.04341567
Cntd1	7.410292659	7.248176617	7.269632464	8.648126927	8.188336347	8.331766724	8.051796936	8.053737015	7.996958075
Cntf	6.206468165	5.49884104	6.129755823	6.358659906	5.52374178	5.930542931	5.7757493	6.150424879	6.199563208
Cntfr	4.811952535	5.181575855	4.811952535	4.811952535	5.19516297	5.447883911	4.811952535	4.811952535	5.353682791
Cntln	8.008983205	8.3080792	9.097188489	10.12394066	9.827398075	9.825405644	9.94551516	9.730474585	9.524257475
Cntn1	6.1866625	6.61763923	7.422567792	6.103284918	6.30554049	6.055299849	5.908145597	5.683917171	5.281786841
