	Dmrta1	E2f7	Ebf1	Egr2	Egr3	Elk3	Foxk1	Ikzf1	Klf8	Maz	Mlx	Mzf1	Nfyb	Nr3c1	Pparg	Runx2	Tfap4	Tfeb	Zbtb14	Zbtb7b	Zfp143
Glt28d2	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0
Gm10863	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0
Gm6537	0	0	0	0	1.5	0	0	1.5	0	0	0	0	1.5	0	0	0	0	0	0	0	1.5
Gng12	0	0	0	-0.5	-0.5	0	0	0	1.5	-0.5	0	0	0	0	0	0	0	0	0	-0.5	0
Gng3	0	0	0	0	0	0	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	0	0
Gnptab	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0
Gorasp1	0	0	0	0	0	-1.5	0	0	0	0	0	-1.5	0	0	0	0	0	-0.5	-1.5	0	0
Gpr124	0	0	0	0	0	0	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	0	0
Gprin3	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0
Gramd1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0
Gsto2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.5	0
Gtf2ird1	0	0	0	1.5	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2-dma	0	0	0	1.5	0	0	0	0	0	0	0	1.5	0	0	0	0	0	1.5	0	1.5	0
Hcst	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0
Hif1an	0	0	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hinfp	0	0	0	0	0	0	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	0	0
Hmgn1	0	0	0	-0.5	-0.5	0	0	0	0	-0.5	0	0	0	0	0	0	0	-0.5	0	-0.5	-0.5
Hpgds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5
Hpse2	0	0	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	-1.5
Ict1	0	0	0	0	0	1.5	0	0	0	0	0	0	1.5	0	0	0	0	0	0	1.5	1.5
Ifi205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.5	0	0	0	0	0
Ifnk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	-0.5
Igsf5	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0
Igsf8	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Igsf9	0	0	0	0	0	0	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	-1.5	0
Ikzf2	0	0	0	0	0	0	0	0	0	-0.5	0	-0.5	0	0	0	0	0	0	0	-0.5	-0.5
Il10	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il17c	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	1.5	0	0	0
Il1rl1	0	0	0	1.5	0	0	0	0	0.5	0	0	0	0	0.5	0	0	0	0	0	0	0
Il9r	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
