	SFB_v_GF_CD11b-CD103-	SFB_v_GF_CD11b-CD103+	SFB_v_GF_CD11b+CD103-	SFB_v_GF_CD11b+CD103+	SFB_v_GF_Monocyte	SFB_v_GF_Macrophage
Aatf	-0.231347179973	-0.178251351806	-0.12222668103	-0.325550271268	-0.42282291952	-0.311661148637
Aatk	0.425850786781	-0.837624475506	0.655697465479	-0.43297595605	1.48463592482	0.981498843838
Abat	-0.658654628554	0.0865298744328	-0.755926609947	-0.267075296256	-0.789247963027	0.00734218475409
Abca1	0.79033899529	-0.0916943508257	0.562321639096	-0.228853531526	0.980902763643	0.736716602627
Abca12	0.029552108814	0.0294332482181	0.0297829160072	0.0295594426016	0.0294928605022	0.0296294133556
Abca13	0.51855694727	0.181411550821	0.290502895841	-0.500635883248	0.80362433965	0.66915498593
Abca14	-0.132448382811	-0.132330221294	-0.131910959544	-0.132615808322	-0.132126422191	-0.0193128001822
Abca15	-0.191071305453	-0.19198374119	-0.186027127016	-0.192948097075	-0.187946432312	-0.190723550549
Abca16	-0.0625630435604	-0.0624214742896	-0.0619201614181	-0.0624937180882	-0.0632916018566	-0.0626643531214
Abca17	-0.242237880631	0.122292281668	0.360451994868	0.0588025649771	-1.33397544822	-1.04543375879
Abca2	0.20334039394	-0.274147150143	-0.175540089779	-0.26273845386	-0.00785443384644	0.20951092544
Abca3	-0.328398971058	-0.498133919415	-0.607005319657	-0.141335861721	-0.0369421802885	-0.118549667549
Abca4	0.506324777908	0.505391044524	0.587950426212	0.508573011644	0.865121291875	0.507856224165
Abca5	0.404965364962	0.547993836398	-0.418728557089	-0.0154465957612	0.099893604413	0.108417354671
Abca6	0.57726402193	-0.870603888664	-0.999252920695	-0.86504675691	0.407094626309	0.724304706856
Abca7	-0.438338800794	-0.344609754592	-0.386733178099	-0.388034522488	0.185903858298	-0.424563352642
Abca8a	-0.820073297179	-0.862577191926	0.0414901374487	-0.47836741271	-0.317739655246	-0.148095994535
Abca8b	0.942209201305	0.600954367506	0.633643704363	0.596992474516	1.07770302462	0.548950718341
Abca9	0.355341050792	-2.63744717936	-0.285471892515	-0.641967774834	-0.237828897138	-0.155376351845
Abcb10	-0.248586678332	-0.0601641981092	-0.723160912167	0.0426786833282	-0.183718199927	-0.604949418867
Abcb11	-0.0811053573312	-0.128042972333	-0.127790229807	-0.127985247182	-0.127784235467	-0.127960989212
Abcb1a	0.561254223652	-0.197268144909	0.194204999373	0.297907575965	0.1203580656	0.643553651107
