	Bclaf1	E2f4	Egr2	Elf2	Elk1	Ets1	Etv6	Fos	Foxp1	Gabpa	Hsf1	Irf1	Klf7	Nfe2l2	Nfya	Nfyb	Nrf1	Pbx3	Rfx5	Setdb1	Sp1	Sp2	Sp4	Stat1	Stat3	Tbp	Thap1	Ybx1	Yy1
Ildr1	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jak2	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jmjd4	0	0	0	0	0	0	0	0	0	0	0	-0.25	-0.25	0	0	0	-0.25	0	0	0	-0.25	-0.25	0	0	0	-0.25	0	0	0
Jun	-0.25	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	0	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	0
Kctd21	0	-0.25	0	0	-0.25	-0.25	0	-0.25	0	-0.25	0	-0.25	-0.25	0	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	-0.25
Kdm4d	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klri2	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lin37	-0.25	-0.25	0	0	0	-0.25	0	0	0	-0.25	0	-0.25	-0.25	0	0	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	0	-0.25	0	0	-0.25
Lin54	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrrc1	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrrc16a	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lyl1	-0.25	-0.25	0	0	-0.25	0	0	-0.25	0	-0.25	0	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	0	-0.25	0	0	-0.25	-0.25
Map4k4	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mast3	-0.25	-0.25	0	0	-0.25	-0.25	0	-0.25	0	-0.25	0	-0.25	-0.25	0	-0.25	0	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25
Mavs	0	0	0	0	0	-0.25	0	0	0	0	0	-0.25	0	-0.25	-0.25	-0.25	0	0	-0.25	0	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	0	0
Mcm10	0	-0.25	0	0	0	0	0	-0.25	0	0	0	-0.25	0	0	-0.25	-0.25	0	-0.25	-0.25	0	0	-0.25	-0.25	0	0	-0.25	0	-0.25	-0.25
Mon1b	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	0	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	-0.25
Mpi	-0.25	-0.25	0	-0.25	0	0	-0.25	-0.25	0	-0.25	0	-0.25	-0.25	0	-0.25	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	0	-0.25	0	0	-0.25
Mrps31	0	0	0	0	-0.25	-0.25	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0
Mx1	0	-0.25	0	0	0	0	0	-0.25	0	0	0	-0.25	0	-0.25	0	0	0	0	0	0	-0.25	0	0	-0.25	-0.25	0	0	0	0
Mxi1	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
