	Atf3	E2f4	E2f6	Egr1	Elf1	Elf2	Elk1	Fos	Gabpa	Irf1	Klf16	Klf4	Klf7	Mitf	Nfe2l2	Nfya	Nfyb	Nrf1	Setdb1	Sin3a	Smarcc2	Sp1	Sp2	Sp3	Sp4	Srf	Taf1	Tbp	Tfeb	Usf1	Zfp523
Dedd2	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0
Degs2	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dffb	-0.25	-0.25	-0.25	-0.25	0	0	0	-0.25	-0.25	0	0	0	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	-0.25	-0.25	0
Dnajb1	-0.25	-0.25	0	-0.25	0	0	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	0
Dnajc28	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	0	0	-0.25	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	-0.25	0	0	-0.25
Doc2g	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	0	0	0	0	-0.25	0	-0.25	-0.25	0	-0.25	-0.25	0	0	-0.25	0	0	-0.25
Dscr3	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25
Dse	0	0	0	0	-0.25	-0.25	0	-0.25	0	-0.25	0	0	0	0	0	-0.25	-0.25	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	0	0
Dusp18	0	0	0	-0.25	-0.25	0	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	0	0
Dusp8	-0.25	-0.25	0	-0.25	-0.25	0	0	-0.25	0	-0.25	0	-0.25	-0.25	0	0	-0.25	-0.25	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	-0.25
E130311k13rik	0	0	0	-0.25	-0.25	0	0	0	-0.25	-0.25	0	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0
E2f7	-0.25	-0.25	0	-0.25	-0.25	0	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	0	0	0	0	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	0
Ebf1	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Edc3	0	0	0	-0.25	0	0	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	0	0	0	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	0	0	-0.25	0	0	0
Egfr	0	0	0	-0.25	-0.25	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0
Egr1	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	0	-0.25	0	0	0	0	-0.25	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	0
Egr2	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	-0.25	0	0	0	0	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25
Eif2b1	-0.25	0	0	-0.25	0	0	0	-0.25	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eif2b4	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	-0.25
Elk1	0	0	0	-0.25	0	0	0	0	-0.25	-0.25	-0.25	0	0	0	-0.25	-0.25	0	0	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	0	0
Entpd6	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	0	-0.25	0	-0.25	0	0	0	0	0	0	-0.25	0	-0.25	0	-0.25	0	0	-0.25	-0.25	0	0	0	0	0
Fam134c	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	0	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	0	-0.25	0	0	-0.25	-0.25	0
Fam185a	0	0	0	-0.25	0	0	0	0	0	-0.25	0	-0.25	0	0	0	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	0	0	0	0
Fam20c	-0.25	0	0	-0.25	-0.25	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	-0.25	-0.25	-0.25	0	0	0	0	0	0
Fam96b	0	0	0	-0.25	-0.25	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	0	0
Fbf1	-0.25	0	0	-0.25	0	0	0	-0.25	0	-0.25	0	-0.25	-0.25	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	0	0	0	-0.25	0	0	-0.25
Fbn1	0	0	0	-0.25	-0.25	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	-0.25	0	0	-0.25	-0.25
Fbxl14	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	-0.25	0	0	0	0	0	-0.25	0	0	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	0	0
Fbxo32	-0.25	0	-0.25	-0.25	0	0	0	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	-0.25	0	0	0	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	0	-0.25	0	-0.25	0
Fkbp4	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0
Fos	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	0	-0.25	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	-0.25
Fxyd4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0
Fzd1	0	0	0	-0.25	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0
Gadd45gip1	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	0	0	0	0	0	0	0	0	-0.25	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	0	0
Galk1	-0.25	-0.25	0	-0.25	-0.25	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	0	-0.25	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	0	-0.25	-0.25	-0.25	0
Gas8	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gba2	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	0	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	0	-0.25
Gcnt1	0	0	0	-0.25	0	-0.25	0	-0.25	0	-0.25	0	0	-0.25	0	-0.25	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	0
Glb1l	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	0	0
Gm14446	0	0	0	0	-0.25	0	0	0	0	-0.25	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	-0.25	0	0	0	0
