	Bclaf1	Ctcf	E2f1	E2f4	E2f6	Egr1	Egr3	Ets1	Etv6	Fos	Gabpa	Irf1	Klf16	Klf4	Klf5	Klf7	Nfya	Nfyb	Nrf1	Setdb1	Smarcc2	Sp1	Sp2	Sp3	Sp4	Srf	Tbp
Col14a1	0	0	0	0	0	-0.25	0	-0.25	0	-0.25	-0.25	-0.25	0	0	0	0	0	0	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	0	0
Col17a1	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Col18a1	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Col1a1	0	-0.25	0	0	0	0	0	0	0	0	0	0	-0.75	0	0	-0.25	0	0	0	0	0	-0.25	0	-0.25	-0.25	0	0
Col1a2	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Col23a1	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0.25	0	0.25	0.25	0	0
Col8a1	0	-0.25	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.25	-0.25	0	-0.25	0	0
Commd2	0	0	-0.25	0	0	-0.25	0	0	0	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25
Coq3	-0.25	0	-0.25	-0.25	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	-0.25	-0.25	0	-0.25	0	0	0	0	0
Coro2b	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0.25	0	0.25	0	0	0
Cpox	0	-0.25	0	0	0	-0.25	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	-0.25	-0.25	0	0	0	0	0	0
Crtc3	0	0	0	0	0	0	0	0	0	0	0	0.25	0.75	0	0	0	0	0	0	0	0	0.25	0	0.25	0.25	0	0
Csf1	0	-0.25	0	0	0	-0.25	0	-0.25	0	-0.25	0	-0.25	0	0	0	0	0	0	0	0	-0.25	-0.25	0	-0.25	-0.25	0	0
Ctla2b	0	0	0	0	0	0	0	-0.25	0	-0.25	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.25	0
Ctla4	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cul7	-0.25	-0.25	0	-0.25	-0.25	-0.25	0	0	0	-0.25	-0.25	-0.25	-0.75	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25
Cwf19l1	-0.25	0	-0.25	0	-0.25	-0.25	0	-0.25	-0.25	0	-0.25	-0.25	0	0	0	0	0	0	-0.25	0	0	-0.25	0	0	-0.25	-0.25	0
Cxcl1	0	-0.25	0	0	0	-0.25	-0.25	0	0	-0.25	0	-0.25	0	0	0	0	0	0	0	0	0	-0.25	0	-0.25	0	0	0
