	E2f1	E2f4	Elf1	Elf2	Elk1	Ets1	Etv6	Fos	Gabpa	Hsf1	Irf1	Klf7	Nfe2l2	Nfya	Nfyb	Nrf1	Pbx3	Sp1	Sp2	Sp4	Stat1	Stat3	Taf1	Tbp	Thap1	Ybx1	Yy1	Zfp105	Zfp143
Kit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0	0	0	0	0	0	0	0.25	0
Klri2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0
Lin37	0	-0.25	0	0	0	-0.25	0	0	-0.25	0	-0.25	-0.25	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	0	-0.25	0	0	-0.25	0	-0.25
Lin54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0
Lrp8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0	0	0	0	0	0	0	0	0
Lrrc16a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0	0	0	0	0	0	0	0	0
Lrrc8d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0
Lyl1	0	-0.25	0	0	-0.25	0	0	-0.25	-0.25	0	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	-0.25	0	0	0	-0.25	-0.25	0	0
Map4k4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0	0	0	0	0	0	0	0.25	0
Mast3	0	-0.25	0	0	-0.25	-0.25	0	-0.25	-0.25	0	-0.25	-0.25	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	-0.25	0	-0.25
Mavs	0	0	0	0	0	-0.25	0	0	0	0	-0.25	0	-0.25	-0.25	-0.25	0	0	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	0	0	0	0	0
