	Atf3	Bcl6	E2f1	Egr1	Egr2	Fos	Jun	Klf4
Cd55	0	0	0	0	0	-0.5	0	-0.5
Cd63	0	0	-0.5	-0.5	-0.5	-0.5	-0.5	0
Cd72	0	0	0	0	0	0	0	0.5
Cd81	-0.5	0	-0.5	-0.5	0	0	0	0
Cd83	0	0	0	0	0	0	0	0.5
Cd86	0	-1.0	0	-0.5	0	-0.5	-0.5	-0.5
Cd9	0	0	0	0	0	-0.5	-0.5	0
Cd93	0	0	0	0	0	-0.5	-0.5	0
Cd99l2	-0.5	0	0	-0.5	-0.5	-0.5	-0.5	-0.5
Cdc16	-0.5	0	0	-0.5	-0.5	-0.5	0	-0.5
Cdc27	0	0	0	-0.5	0	-0.5	0	0
Cdc42ep1	-0.5	0	0	-0.5	-0.5	0	0	-0.5
Cdc42ep3	-0.5	0	-0.5	-0.5	0	-0.5	0	-0.5
Cdc42ep5	-0.5	0	-0.5	0	0	0	-0.5	-0.5
Cdca4	-0.5	0	-0.5	-0.5	-0.5	-0.5	0	-0.5
Cdh23	0	0	-0.5	-0.5	0	-0.5	-0.5	-0.5
Cdk17	-0.5	0	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5
Cdkl3	0	0	0	0	0	0	0	0.5
Cdkn1a	-0.5	0	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5
Cdkn2aip	0	0	-0.5	-0.5	0	-0.5	0	-0.5
Cdkn2c	0	0	0	0	0	0	0	0.5
Cdkn2d	0	0	0	-0.5	0	-0.5	-0.5	0
Cdr2	0	0	-0.5	0	0	-0.5	-0.5	0
Cdyl2	0	0	0	0	0	0	0	0.5
Cebpg	-0.5	0	-0.5	-0.5	0	-0.5	-0.5	-0.5
Celf4	0	0	0	0	0	0	0	0.5
Cenpa	0	0	-0.5	-0.5	0	-0.5	0	0
Cenpb	-0.5	0	-0.5	-0.5	0	0	0	-0.5
Cep57l1	0	0	0	0	0	0	0	0.5
Cep63	0	0	0	0	0	0	0	0.5
Cfb	0	0	0	0	0	0	0	0.5
Cflar	-0.5	0	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5
Cggbp1	-0.5	0	-0.5	-0.5	-0.5	-0.5	0	-0.5
Ch25h	0	0	0	0	0	-0.5	-0.5	0
Chd5	0	0	0	-0.5	-0.5	-0.5	0	0
Chid1	0	0	0	0	0	0	0	0.5
Chka	0	0	0	0	0	0	0	0.5
Chst11	0	0	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5
Chsy1	-0.5	0	-0.5	-0.5	-0.5	-0.5	0	0
Cideb	-0.5	0	-0.5	-0.5	-0.5	-0.5	0	-0.5
Cirh1a	-0.5	0	-0.5	-0.5	-0.5	-0.5	-0.5	0
Cish	-0.5	0	-0.5	-0.5	-0.5	0	0	-0.5
Cited4	0	0	0	0	0	0	0	0.5
Ciz1	0	0	0	0	0	0	0	0.5
Ckap4	0	0	-0.5	-0.5	0	0	0	0
Clasp2	-0.5	0	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5
Clcf1	-0.5	0	0	-0.5	-0.5	-0.5	-0.5	0
Clcn5	0	0	0	0	0	0	-0.5	0
Cldn1	-0.5	0	0	0	0	-0.5	-0.5	0
Cldn12	-0.5	0	0	-0.5	0	-0.5	0	0
Clec2i	0	0	0	0	0	-0.5	-0.5	0
Clec4d	0	0	0	-0.5	0	-0.5	-0.5	0
Clic4	-0.5	0	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5
Clip2	0	0	0	0	0	0	0	0.5
Cln3	-0.5	0	-0.5	-0.5	0	-0.5	0	0
Clock	-0.5	0	-0.5	-0.5	-0.5	0	0	0
Clpx	0	0	-0.5	-0.5	-0.5	0	0	0
Clybl	0	0	0	0	0	0	0	0.5
Cmtm6	-0.5	0	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5
Cnksr3	-0.5	0	0	-0.5	-0.5	0	0	-0.5
Cnn1	-0.5	0	-0.5	-0.5	-0.5	-0.5	0	0
Cnnm2	-0.5	0	-0.5	-0.5	0	-0.5	-0.5	-0.5
Cnot4	0	0	0	-0.5	0	-0.5	-0.5	-0.5
Cnpy4	0	0	0	0	0	0	0	0.5
Col12a1	0	0	0	0	0	-0.5	-0.5	0
Col14a1	0	0	0	-0.5	0	-0.5	-0.5	0
Col15a1	0	0	0	-0.5	0	-0.5	-0.5	-0.5
Col16a1	-0.5	0	-0.5	-0.5	0	0	0	0
Col23a1	0	0	0	0	0	0	0	0.5
Col4a1	0	0	0	-0.5	-0.5	0	0	0
Col4a2	-0.5	0	0	-0.5	0	-0.5	-0.5	0
Col4a3bp	0	0	-0.5	-0.5	0	-0.5	-0.5	-0.5
Col4a6	0	0	0	-0.5	0	0	0	0
Col5a3	0	0	-0.5	0	0	0	0	0
Col7a1	0	0	0	-0.5	-0.5	0	0	-0.5
Col8a1	0	0	0	-0.5	0	0	0	0
Colec12	0	0	0	0	0	-0.5	-0.5	0
Comt	0	0	0	0	0	0	0	0.5
Coro1b	0	0	0	0	0	0	0	0.5
Cox19	0	0	0	-0.5	0	0	0	-0.5
Cox7a2l	0	0	0	0	0	0	0	0.5
Cpd	-0.5	0	0	-0.5	0	0	0	-0.5
Cpeb1	0	0	-0.5	-0.5	-0.5	0	0	-0.5
Cpeb3	-0.5	0	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5
Cpne8	0	0	-0.5	0	0	0	0	0
Cramp1l	-0.5	0	-0.5	-0.5	-0.5	-0.5	0	-0.5
Creb5	-0.5	0	0	-0.5	0	-0.5	-0.5	-0.5
Creg1	0	0	0	0	0	0	0	0.5
Crip1	-0.5	0	0	-0.5	0	-0.5	-0.5	-0.5
Crip2	-0.5	0	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5
Crk	0	0	-0.5	-0.5	0	-0.5	-0.5	-0.5
Crkl	-0.5	0	-0.5	-0.5	0	0	0	0
Crtap	-0.5	0	-0.5	-0.5	-0.5	0	0	-0.5
