	Atf3	Egr1	Egr3	Fos	Fosb	Hic1	Irf1	Irf2	Irf7	Irf8	Jun	Jund	Klf4	Maz	Myc	Nfya	Stat1	Stat2	Zbtb7b
Anks1	0.5	0.5	0.5	0.5	0	0	0.5	0	0	0.5	0	0	0.5	0.5	0	0.5	0	0.5	0.5
Anln	0.5	0.5	0	0.5	0	0	0.5	0	0	0	0	0	0.5	0.5	0	0	0	0.5	0.5
Antxr2	0	-0.5	0	-0.5	-0.5	-0.5	-0.5	0	0	0	-0.5	-0.5	-0.5	-0.5	-0.5	0	0	0	-0.5
Anxa1	0	0	0	-0.5	0	0	-0.5	0	0	0	-0.5	-0.5	0	0	0	0	0	0	0
Anxa11	-0.5	-0.5	0	-0.5	-0.5	-0.5	-0.5	0	0	0	-0.5	-0.5	-0.5	-0.5	0	0	0	0	0
Anxa2	-0.5	-0.5	0	-0.5	0	0	-0.5	0	0	0	-0.5	-0.5	-0.5	-0.5	0	0	0	0	-0.5
Anxa3	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0
Anxa4	-0.5	-0.5	0	-0.5	0	0	-0.5	0	0	0	-0.5	-0.5	-0.5	-0.5	0	0	0	0	-0.5
Anxa5	-0.5	-0.5	0	-0.5	0	0	-0.5	0	0	0	-0.5	-0.5	0	0	-0.5	0	0	0	0
Anxa6	0	0.5	0	0.5	0	0	0.5	0.5	0.5	0.5	0	0	0.5	0	0	0.5	0.5	0.5	0
Anxa7	0	-0.5	0	-0.5	-0.5	0	-0.5	0	0	0	0	0	-0.5	0	-0.5	0	0	0	0
Aoc2	-0.5	-0.5	0	-0.5	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	-0.5
Ap1b1	0.5	0.5	0	0.5	0	0	0.5	0	0	0.5	0	0	0.5	0	0	0	0	0	0
Ap1s3	0.5	0.5	0	0	0	0	0.5	0	0	0.5	0	0	0.5	0.5	0	0	0.5	0.5	0
Ap3m2	0	0.5	0	0.5	0	0	0.5	0	0.5	0.5	0	0	0	0.5	0	0.5	0.5	0.5	0
Apba1	0.5	0.5	0.5	0.5	0	0	0.5	0	0	0.5	0	0	0.5	0.5	0	0	0.5	0	0.5
Apbb2	-0.5	-0.5	0	0	0	0	-0.5	0	0	0	0	-0.5	0	0	0	0	0	0	-0.5
Apbb3	0	-0.5	0	0	0	0	-0.5	0	0	0	0	0	0	-0.5	0	0	0	0	-0.5
Aph1c	0	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	0	0	0	0	-0.5	-0.5	-0.5	-0.5	0	0	0	-0.5
Apitd1	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5
Apobec3	0.5	0.5	0	0	0	0	0.5	0.5	0.5	0.5	0	0	0	0	0	0	0.5	0.5	0.5
Apoc2	0.5	0.5	0.5	0	0	0	0.5	0	0	0.5	0	0	0.5	0	0	0	0	0	0.5
Apof	0	0	0	-0.5	0	0	-0.5	0	0	0	0	0	-0.5	0	0	0	0	0	-0.5
Appbp2	-0.5	-0.5	0	0	0	0	-0.5	0	0	0	0	-0.5	-0.5	-0.5	0	0	0	0	-0.5
Appl1	-0.5	-0.5	0	-0.5	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0
Arap2	-0.5	-0.5	-0.5	0	0	-0.5	-0.5	0	0	0	0	-0.5	0	0	0	0	0	0	-0.5
Arc	-0.5	-0.5	0	-0.5	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	-0.5
Areg	-0.5	-0.5	0	0	0	0	0	0	0	0	0	-0.5	0	0	-0.5	0	0	0	0
Arfgap3	0	-0.5	0	0	0	-0.5	-0.5	0	0	0	0	0	-0.5	0	0	0	0	0	-0.5
