	Atf2	Atf3	Bclaf1	Creb1	Ctcf	E2f1	E2f4	E2f6	Egr1	Egr2	Egr3	Elf1	Elk1	Ets1	Etv6	Fos	Gabpa	Hey1	Hic1	Irf1	Jund	Klf13	Klf16	Klf4	Klf5	Klf7	Myc	Nfya	Nfyb	Nrf1	Pbx3	Pou2f1	Rest	Rfx5	Setdb1	Smarcc2	Sp1	Sp2	Sp3	Sp4	Srf	Taf1	Tbp	Zfp523
B3galt6	0	0	-0.25	0	-0.25	-0.25	0	-0.25	-0.25	0	0	-0.25	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	-0.25	-0.25	0	-0.25	0	0	-0.25	0	-0.25	0	-0.25	-0.25	0	0	-0.25	0	0	0
B430212c06rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B430306n03rik	0	0	0	0	0	0	0	0	-0.25	0	0	-0.25	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bc030307	0	0.25	0	0	0	0.25	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0	0.75	0.25	0.25	0.25	0	0.25	0	0	0.25	0	0	0	0	0	0.25	0.25	0.25	0.25	0	0	0	0
Bc037032	0	0	-0.25	0	-0.25	-0.25	-0.25	0	-0.25	0	0	-0.25	0	-0.25	0	0	0	0	-0.25	0	0	0	0	0	-0.25	0	-0.25	0	0	-0.25	0	0	0	0	0	0	0	-0.25	0	0	-0.25	0	0	0
Bc048546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0
Bcl2	0	0.25	0	0	0	0.25	0	0	0.25	0	0	0	0	0	0	0	0	0.25	0	0.25	0.25	0.25	0	0	0	0	0	0.25	0	0	0.25	0	0	0	0	0	0.25	0.25	0.25	0.25	0	0.25	0	0
Bcl2l1	0	0	-0.25	0	-0.25	-0.25	0	0	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	-0.25	0	0	-0.75	-0.25	-0.25	0	0	-0.25	0	0	-0.25	0	-0.25	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	0	0	-0.25	0
Bcl2l15	0	0	0	0	-0.25	0	0	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	0	-0.25	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	-0.25	0	-0.25	0	0	-0.25	0	0	0	0	0	0	0	0
Bco2	0	0	-0.25	0	-0.25	0	0	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	0	-0.75	-0.25	-0.25	-0.25	-0.25	0	0	-0.25	0	0	-0.25	0	0	0	-0.25	-0.25	-0.25	-0.25	0	0	-0.25	0
Bend4	0	0.25	0	0	0	0.25	0	0	0.25	0	0	0	0	0	0	0	0	0.25	0	0.25	0	0.25	0.75	0.25	0.25	0.25	0	0	0	0	0.25	0	0	0	0	0	0.25	0.25	0.25	0.25	0	0.25	0	0
Bgn	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Birc5	0	0	0	0	0	0	0	0	-0.25	0	0	-0.25	-0.25	-0.25	0	0	-0.25	0	0	-0.25	0	0	-0.75	-0.25	0	-0.25	0	0	0	-0.25	0	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	-0.25
Bloc1s2	0	0	-0.25	0	0	-0.25	0	-0.25	-0.25	0	0	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	-0.25	0	0	0	0	-0.25	-0.25	-0.25	0	0	0	-0.25	0	0	0	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	0
Btg2	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	0	-0.25	0	0	0	0	0	0	0	0	0	0	-0.25	-0.25	0	-0.25	-0.25	0	-0.25	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	0
C1qa	0	0	0	0	-0.25	0	0	0	-0.25	-0.25	0	-0.25	0	0	-0.25	0	0	0	0	0	0	0	-0.75	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	-0.25	0	-0.25	0	0	0	0	0
C1qtnf1	0	0	-0.25	0	-0.25	0	0	-0.25	-0.25	0	0	-0.25	0	0	-0.25	-0.25	-0.25	0	-0.25	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0
C1qtnf3	0	0	-0.25	0	0	0	-0.25	-0.25	-0.25	0	0	-0.25	-0.25	-0.25	0	0	-0.25	0	0	-0.25	0	0	-0.75	-0.25	-0.25	-0.25	0	0	0	-0.25	0	0	-0.25	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	0	-0.25	0
Cacnb3	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0	0	0	0
Calhm2	0	0	-0.25	0	0	0	0	0	-0.25	0	0	-0.25	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0
