	Ar	Ascl4	Batf3	Bmyc	E2f2	E2f7	E2f8	Egr2	Egr3	Elk3	Erg	Gtf3a	Hey1	Hlf	Hsf4	Irf4	Irf8	Klf10	Klf12	Lef1	Maz	Mlx	Mycn	Mzf1	Nfic	Nfil3	Nfkbia	Nfkbid	Nfkbil1	Nfyb	Nr1d1	Nr1i2	Nr4a1	Pbx2	Pparg	Rara	Rarg	Rbpj	Rorc	Runx2	Snai3	Sox9	Tbx21	Tfap4	Tfeb	Thap3	Thap4	Thra	Vdr	Zbtb14	Zbtb16	Zbtb32	Zbtb37	Zbtb7b	Zfp1	Zfp143	Zfp287	Zfp296	Zfp3	Zfp41	Zfp426	Zfp462	Zfp64	Zfp691	Zfp768	Zfp775	Zfp92	Zscan10
Lcn2	0	-1.5	0	0	0	0	0	-3.0	-3.0	-1.5	0	-3.0	0	0	0	0	-1.5	-7.5	0	0	0	0	0	-3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.5	0	0	0	0	0	-3.0	0	0	0	0	-3.0	-1.5	-3.0	0	-3.0	-3.0	-3.0	0	-3.0	0	0	-3.0	0	-3.0
Lcn4	0	1.5	0	0	0	0	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0	0	0	0	0	3.0	0	3.0	0	3.0	3.0	3.0	0	3.0	0	0	3.0	0	3.0
Lcp1	0	0	1.5	0	0	0	0	3.0	3.0	1.5	0	3.5	0	0	0	0	4.5	0	0	1.5	1.5	0	0	3.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5	0	0	0	1.5	3.5	0	3.5	1.5	3.5	3.5	3.5	0	3.5	0	0	3.5	0	3.5
Ldha	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ldlrad3	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	-0.5	-0.5	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	-0.5	0	-0.5	0	-0.5	-0.5	-0.5	0	-0.5	0	0	-0.5	0	-0.5
Ldlrap1	0	0	0	1.5	3.0	3.0	3.0	3.0	3.0	0	0	7.5	0	0	0	0	1.5	12.0	0	3.0	1.5	0	0	7.5	6.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	7.5	0	0	0	1.5	7.5	0	7.5	0	7.5	7.5	7.5	0	7.5	0	0	7.5	0	7.5
Leap2	0	0	0	0	0	0	0	-1.5	-1.5	-1.5	0	0	0	0	0	0	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lef1	0	0	1.5	1.5	4.5	4.5	4.5	6.0	6.0	0	0	8.0	0	0	0	0	1.5	1.5	0	1.5	1.5	1.5	0	8.0	0	0	0	0	0	0	0	3.0	0	0	1.5	4.5	4.5	0	-1.5	1.5	0	0	0	0	0	0	0	0	0	8.0	0	0	0	1.5	8.0	0	8.0	0	8.0	8.0	8.0	0	8.0	0	0	8.0	0	8.0
Lfng	0	0	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	0	7.5	0	0	0	0	1.5	10.5	0	1.5	1.5	0	0	7.5	0	0	0	0	0	0	0	1.5	3.0	0	1.5	4.5	4.5	0	0	4.5	0	0	0	1.5	0	0	0	0	0	7.5	0	0	0	3.0	7.5	1.5	7.5	0	7.5	7.5	7.5	0	7.5	0	0	7.5	0	7.5
Lgals1	0	1.5	0	0	1.5	1.5	1.5	1.5	1.5	3.0	0	6.0	0	0	0	0	0.5	4.5	0	0	0	0	0	6.0	0	0	1.5	1.5	1.5	0	0	0	0	0	0	0	0	0	0	3.0	0	0	0	1.5	0	0	0	0	0	6.0	0	0	0	0	6.0	0	6.0	0	6.0	6.0	6.0	0	6.0	0	0	6.0	0	6.0
Lgals3	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lgals3bp	0	0	0	1.5	0	0	0	0	0	1.5	0	0	0	0	0	0	8.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	1.5	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lif	0	0	0	0	0	0	0	4.5	4.5	0	0	7.5	0	0	0	0	0	6.0	0	1.5	3.0	0	0	7.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	7.5	0	0	0	1.5	7.5	0	7.5	0	7.5	7.5	7.5	0	7.5	0	0	7.5	0	7.5
Lima1	0	0	0	0	0	0	0	-4.5	-4.5	0	0	0	0	0	0	0	-0.5	-3.0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Litaf	0	0	0	0	1.5	1.5	1.5	1.5	1.5	0	0	0	0	0	0	0	4.5	7.5	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	3.0	1.5	1.5	4.5	4.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lmna	0	0	0	-3.0	-1.5	-1.5	-1.5	-6.0	-6.0	0	0	-4.5	0	0	0	0	-3.0	-7.5	0	0	0	-1.5	0	-4.5	-2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.5	0	0	0	0	-4.5	0	-4.5	0	-4.5	-4.5	-4.5	0	-4.5	0	0	-4.5	0	-4.5
Lmo2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	1.0	0	1.0	1.0	0	1.0	0
Lmo7	0	0	0	-1.5	0	0	0	-1.5	-1.5	-3.0	0	0	0	0	0	0	-0.5	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0
Lonrf3	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lpin1	0	0	0	0	0	0	0	-3.0	-3.0	0	0	-1.5	0	0	0	0	-2.0	0	0	0	-0.5	0	0	-1.5	0	0	0	0	0	0	0	0	-1.5	0	-0.5	-3.0	-3.0	0	0	-0.5	0	0	0	0	0	0	0	0	0	-1.5	0	0	0	0	-1.5	-1.0	-1.5	-0.5	-1.5	-1.5	-1.5	0	-1.5	0	0	-1.5	0	-1.5
Lrfn4	0	0	0	0	-1.5	-1.5	-1.5	0	0	0	0	-3.0	0	0	0	0	-1.5	-1.5	0	-1.5	0	0	0	-3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.0	0	0	0	0	-3.0	-1.5	-3.0	0	-3.0	-3.0	-3.0	0	-3.0	0	0	-3.0	0	-3.0
