	Batf	Bcl3	Ebf1	Fosl2	Gata2	Hey1	Hivep1	Jdp2	Klf12	Klf5	Nfe2l2	Nfkb1	Nfkb2	Nr2f2	Nr4a3	Pparg	Prdm1	Rarg	Rel	Rela	Relb	Rest	Stat3	Tcf7l2	Zbtb7a	Zfp281
Antxr1	0	0.5	0.5	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0.5	0.5	0	0.5	0.5	0	0.5	0.5
Antxr2	0	0.5	0.5	0.5	0	0	0	0	0.5	0.5	0	0.5	0	0	0	0	0	0	0	0.5	0	0.5	0.5	0	0	0.5
Anxa11	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0
Anxa2	1.0	0	0	0.5	0	0.5	0	0	0.5	0.5	0	1.5	0	0	0	0	0	0	0	1.5	0	0	0.5	0	0	0.5
Anxa3	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0
Anxa4	0	0	0.5	0.5	0	0	0	0	0	0	0	1.5	1.0	0	0	0	0	0	0.5	1.5	0	0	0.5	0	0.5	0
Anxa5	0	0.5	0.5	1.5	1.0	0	0	0	0.5	0.5	0	0.5	0	0	0	0	0	0	0	0.5	0	0.5	1.5	1.0	0.5	0.5
Anxa7	0	0	0	0	0	0	0	0	0.5	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5
Ap1g1	1.0	0	0.5	0	0	0.5	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0.5	0	0.5	0.5
Ap2m1	0	0.5	0	0	1.0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0.5	0	0	0
Apbb2	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0
Apex2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5
Aph1c	1.0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0
Aplp2	0	0	0	0.5	0	0.5	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0.5	0	0.5	0.5
Apobec1	0	0.5	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	1.0	0.5	0.5	0	0.5	0.5	0	0	0
Apoe	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5
Apold1	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Appbp2	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0
