	Atf3	Bcl11a	Bcl6	Egr1	Egr2	Fos	Fosb	Jun	Klf4	Rreb1	Srf
Cd84	0	0	0	0.5	0	0.5	0	0	0	0	0
Cd86	0	0	0	0	0	-0.5	0	-0.5	0	0	0
Cd9	0	0	0	0	0	-0.5	0	-0.5	0	0	0
Cd93	0	0	0	0	0	-0.5	0	-0.5	0	0	0
Cdc14a	0.5	0	0	0.5	0	0.5	0	0	0	0	0.5
Cdc20	0	0	0	0.5	0	0.5	0	0	0	0	0
Cdc25a	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0
Cdc25b	0.5	0	0	0.5	0	0	0	0	0.5	0	0
Cdc25c	0.5	0	0	0.5	0	0	0	0	0	0	0.5
Cdc42bpa	0	0	0	-1.0	0	-0.5	0	0	0	0	0
Cdc42se2	0	0	0	0	0	-0.5	-0.5	-0.5	0	0	0
Cdc45	0	0	0	0.5	0	0.5	0	0	0	0	0
Cdca2	0	0	0	0.5	0	0.5	0	0	0.5	0	0
Cdca3	0	0	0	0.5	0	0	0	0	0	0	0
Cdca7	0	0	0	0	0	0	0	0	0.5	0	0.5
Cdca8	0	0	0	0.5	0	0	0	0	0	0	0
Cdh1	0	0	0	0	0	0	0	-0.5	0	0	0
Cdh23	0	0	0	0	0	-0.5	-0.5	-0.5	0	0	0
Cdh5	0	0	0	0	0	0	0	-0.5	0	0	0
Cdk17	0	0	0	0	0	-0.5	-0.5	-0.5	0	0	0
Cdk4	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0
Cdk5rap2	0	0	0	0.5	0	0	0	0	0	0	0.5
Cdkl3	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0.5
Cdkl4	0.5	0	0	0.5	0	0.5	0	0	0	0	0.5
Cdkn1a	0	0	0	0	0	-0.5	-0.5	-0.5	0	0	0
